45,90,135,180,226,271,316,346,377,422,452,542,573,663,754,784,814,904,935,980,1010,1040,1070,1161,1251,1342,1372,1402,1432,1463,1553,1583,1674,1704,1749,1779,1870,1960,1990,2081,2171,2202,2292,2322,2352,2443,2533,2564,2594,2684,2714,2745,2835,2880,2971,3061,3092,3182,3212,3303,3333,3363,3453,3484,3514,3604,3634,3665,3755,3785,3876,3921,3951,4042,4072,4162,4253,4283,4374,4404,4494,4524,4615,4705,4736,4766,4856,4947,4977,5067,5098,5128,5218,5248,5279,5324,5414,5505,5595,5625,5656,5746,5776,5806,5837,5867,5957,6048,6078,6168,6199,6289,6380,6470,6500,6530,6621,6651,6742,6832,6923,6953,7043,7073,7104,7194,7224,7254,7345,7435,7466,7496,7586,7616,7707,7797,7828,7858,7948,8039,8069,8099,8190,8220,8310,8340,8431,8521,8552,8582,8672,8702,8793,8883,8914,9004,9095,9125,9155,9245,9336,9426,9457,9547,9638,9728,9819,9909,10000
22,17.66,17.94,18.0,18.09,18.25,18.07,18.04,20.84,23.23,22.65,24.52,29.17,30.2,33.21,35.69,35.91,36.47,38.01,38.55,37.59,37.73,38.01,38.42,39.47,40.25,41.25,41.33,41.49,41.5,41.61,42.42,42.26,42.80,43.26,42.24,42.49,43.02,43.57,43.61,43.54,43.94,43.91,44.35,44.42,44.51,44.83,45.11,45.08,45.34,45.62,45.64,45.54,45.83,45.47,45.58,45.76,45.95,46.0,45.82,46.04,46.05,46.26,46.30,46.22,46.48,46.65,46.48,46.62,46.97,46.55,46.88,46.30,46.72,46.56,46.76,46.86,47.07,46.9,47.04,46.98,47.12,47.11,47.17,47.75,47.38,47.43,47.46,47.41,47.66,47.64,47.59,47.79,47.92,47.92,47.88,47.94,47.91,47.92,48.14,47.9,48.1,48.13,48.19,48.19,48.08,48.17,48.49,48.37,48.62,48.33,48.32,48.6,48.63,48.59,48.66,48.84,48.53,48.98,48.83,48.87,49.02,48.92,49.05,49.01,48.74,48.96,49.24,48.9,48.75,49.02,48.83,49.01,48.98,48.87,48.99,49.23,49.27,49.08,49.48,49.22,49.36,49.30,49.03,49.25,49.5,49.37,49.27,49.35,49.65,49.55,49.45,49.5,49.61,49.38,49.49,49.64,49.54,49.88,49.7,49.74,49.88,50.01,49.7,49.85,49.83,49.95,49.86,49.9,50.29
23s,17.02,17.63,17.91,17.8,18.02,18.42,18.14,19.71,20.69,20.45,21.55,24.29,24.72,26.52,27.96,28.58,28.37,29.38,29.53,28.99,29.07,29.39,29.28,29.82,30.81,31.24,31.39,31.23,31.34,31.77,31.86,31.75,32.26,32.32,31.96,31.86,32.01,32.34,32.41,32.37,32.54,32.9,33.16,32.7,32.96,33.2,33.15,33.14,33.31,33.23,33.61,33.41,33.33,33.08,33.21,33.25,33.31,33.5,33.52,33.41,33.57,33.5,33.62,33.57,33.4,33.73,33.87,33.92,33.87,33.55,33.68,33.77,33.83,33.78,33.6,33.76,33.83,33.75,33.82,33.87,34.26,34.05,33.77,34.06,33.71,33.76,34.06,34.11,34.2,34.05,34.01,34.27,34.0,34.37,34.22,34.42,34.38,34.17,34.36,34.42,34.65,34.41,34.71,34.61,34.48,34.42,34.29,34.69,34.48,34.61,34.56,34.87,34.5,34.42,34.33,34.62,34.81,34.68,34.33,35.02,34.69,34.59,34.54,34.48,34.72,34.83,35.03,34.83,34.94,34.83,34.92,34.77,35.08,34.92,35.01,34.64,35.11,34.92,35.02,34.91,35.01,34.96,34.94,35.18,35.15,35.02,35.02,35.04,35.31,35.25,35.3,35.13,35.3,35.36,35.51,35.26,35.22,35.24,35.3,35.77,35.58,35.42,35.76,35.46,35.80,36.02,35.82,36.14,35.98
24s,17.41,18.02,18.41,18.52,18.69,18.65,18.67,19.99,21.25,21.02,22.04,24.70,25.11,27.13,28.07,28.58,28.76,29.86,29.88,29.37,29.34,30.0,29.59,30.34,31.13,31.72,31.48,31.52,31.74,32.08,32.28,32.07,32.58,32.31,31.91,32.12,32.7,32.58,32.62,33.09,33.2,32.72,33.04,33.21,33.41,33.51,33.4,33.58,33.61,33.55,33.48,33.54,33.86,33.44,33.94,34.04,33.65,33.87,34.14,33.94,33.83,33.86,34.26,34.05,34.39,34.04,34.32,34.61,34.54,34.21,34.11,34.55,34.42,34.4,34.44,34.46,34.69,34.27,34.39,34.61,34.78,34.68,34.51,34.83,34.81,34.86,35.0,34.88,35.27,34.93,34.99,35.13,35.08,35.05,34.64,34.73,34.78,35.29,35.09,34.98,34.91,35.01,35.42,34.82,35.15,35.18,34.82,35.06,35.08,35.23,35.11,35.23,35.22,35.32,35.3,35.39,35.18,35.28,35.22,35.11,35.32,35.44,35.02,35.48,35.44,35.28,35.51,35.19,35.51,35.78,35.32,35.58,35.61,35.33,35.38,35.4,35.41,35.44,35.58,35.80,35.66,35.73,35.70,35.72,36.04,35.67,35.77,35.58,35.69,35.74,35.69,35.51,35.94,36.08,35.93,36.07,36.27,35.92,35.94,36.19,36.19,36.25,36.29,36.82,36.76,36.58,36.48,36.93,36.97
25s,17.8,18.42,18.54,18.9,18.84,19.17,18.95,20.5,21.65,21.39,22.35,24.95,25.5,27.16,28.61,28.99,29.09,30.15,30.15,29.42,29.84,30.15,30.49,30.64,31.34,31.86,31.96,31.90,32.02,31.81,32.51,32.37,32.67,32.72,32.28,32.73,32.99,32.87,32.99,33.0,33.26,33.30,33.4,33.7,33.71,33.75,34.12,33.96,33.91,34.23,34.07,34.21,34.2,34.26,34.67,34.32,34.19,34.61,34.76,34.44,34.55,34.71,34.93,34.69,34.67,34.94,34.89,34.44,34.69,34.93,34.66,35.04,34.77,34.92,34.9,35.36,35.07,35.16,35.17,34.96,35.32,35.43,35.43,35.3,35.32,35.14,35.44,35.42,35.32,35.28,35.23,35.36,35.29,35.73,35.31,35.22,35.14,35.66,35.39,35.82,35.67,35.8,35.8,35.5,35.49,35.9,35.55,35.48,35.62,35.96,35.97,35.55,36.09,35.92,35.8,36.17,35.88,35.58,35.78,36.01,36.04,36.05,35.92,35.94,36.05,35.83,35.9,35.92,35.86,35.98,35.99,35.92,36.07,35.8,36.12,35.79,36.19,36.19,36.23,36.4,36.43,36.38,36.07,36.39,36.11,36.34,36.44,36.47,36.58,36.16,36.43,36.59,36.44,36.77,36.65,36.96,36.68,36.79,36.77,36.95,37.16,37.04,37.37,37.36,37.29,37.38,37.65,37.57,37.51
26s,17.8,17.37,17.75,17.45,16.93,17.43,17.43,18.72,20.19,19.86,20.61,23.64,24.45,26.11,27.51,27.72,28.06,28.81,29.18,28.68,28.66,28.99,29.18,29.59,30.07,30.84,30.54,30.78,30.57,30.86,31.36,31.24,31.75,31.68,31.89,31.83,32.06,32.24,32.67,32.85,32.94,32.94,33.07,32.84,32.94,32.94,33.22,33.11,33.26,32.99,32.98,33.11,33.33,33.4,33.41,33.58,33.58,33.55,33.80,33.81,33.79,33.91,33.64,33.56,33.53,33.73,33.62,33.94,33.95,34.13,34.22,34.06,33.78,34.03,33.78,34.2,34.4,34.37,34.46,34.16,34.1,34.31,34.44,34.26,34.64,34.33,34.22,34.28,34.48,34.38,34.46,34.39,34.61,34.4,34.41,34.57,34.5,34.58,34.53,34.41,34.69,34.57,34.79,34.48,34.48,34.89,34.9,35.12,34.55,34.78,34.83,34.8,34.74,34.63,34.86,34.84,35.12,34.91,35.03,34.83,35.0,34.8,34.72,35.26,34.99,35.08,35.05,34.94,34.93,35.47,35.26,35.21,35.33,35.43,35.08,35.18,35.28,35.31,35.47,35.33,35.16,35.56,35.43,35.66,35.48,35.47,35.47,35.63,35.33,35.5,35.87,35.86,35.83,35.97,36.39,36.26,36.57,36.3,36.21,36.17,36.34,37.03,36.66,36.94,37.16,36.7,36.93,37.49,37.56
27s,16.0,16.21,16.09,16.27,15.8,16.09,16.18,17.18,18.62,18.44,19.59,22.32,23.0,24.98,26.40,26.75,26.88,27.77,27.55,28.22,28.03,28.07,28.08,28.71,29.34,29.78,30.03,30.09,30.04,30.28,30.7,30.85,30.63,30.74,31.16,30.81,31.05,31.38,31.41,31.29,31.49,31.91,31.61,31.94,32.18,31.77,32.41,32.29,32.29,32.61,32.76,32.41,32.53,32.71,32.71,32.71,32.65,32.99,32.99,33.01,32.26,32.68,33.0,32.75,32.86,32.99,33.1,32.82,33.17,33.07,33.4,33.29,33.25,33.16,33.18,33.30,33.36,33.72,33.55,33.69,33.57,33.55,33.56,33.7,33.7,33.42,33.53,33.37,33.72,33.37,33.32,33.73,33.73,33.89,33.82,33.62,33.58,33.68,33.87,33.67,33.86,33.86,33.98,34.15,34.26,33.82,33.85,34.12,34.23,34.21,34.15,34.30,34.07,33.95,34.39,34.33,34.33,34.54,34.54,34.16,34.23,34.19,34.52,34.22,34.29,34.23,34.35,34.54,34.73,34.47,34.62,34.68,34.94,35.0,34.55,35.14,35.05,34.83,34.68,35.11,34.88,34.92,35.26,35.42,35.19,35.3,35.33,35.42,35.64,35.69,35.73,35.61,36.07,36.25,36.25,36.37,35.92,36.14,36.39,36.64,36.77,36.98,37.23,37.47,37.43,37.59,37.46,37.65,38.08
28s,16.48,16.43,16.36,16.43,16.46,16.18,15.89,17.47,19.05,20.22,21.23,23.78,24.47,26.32,27.26,27.63,28.04,28.64,28.99,29.17,29.27,29.23,29.32,29.67,30.33,30.86,30.70,30.73,31.01,31.03,31.4,31.08,31.23,31.36,31.31,31.34,31.56,32.06,31.99,31.97,32.4,32.21,32.30,32.45,32.56,32.55,33.21,33.14,32.87,33.01,32.91,33.04,33.37,33.12,33.26,33.43,33.61,33.51,33.87,33.47,33.28,33.37,33.35,33.77,33.73,33.35,33.26,33.30,33.98,33.65,33.98,33.65,33.98,33.80,33.86,34.17,34.37,34.12,34.23,34.11,34.30,34.23,34.29,34.17,34.5,34.25,34.13,34.25,33.98,34.23,34.14,33.97,34.56,34.47,34.53,34.21,34.33,34.58,34.62,34.55,34.55,34.8,34.5,34.4,34.52,34.54,34.54,34.64,34.73,35.09,34.72,34.56,34.88,35.07,34.9,35.19,35.07,35.18,34.92,34.92,35.08,35.09,35.17,35.4,35.32,34.97,35.32,35.53,35.47,35.51,35.77,35.54,35.78,35.8,35.80,35.9,35.91,36.04,36.19,36.38,36.22,36.36,36.62,36.21,36.78,36.74,36.55,36.99,37.05,37.12,37.26,37.34,37.55,37.7,37.86,37.79,37.94,38.22,38.12,38.39,38.72,38.89,38.67,38.82,38.99,39.06,39.91,40.03,39.98
29s,15.93,16.39,16.09,16.2,16.45,16.16,18.02,19.79,20.64,21.7,22.72,25.06,25.52,26.91,27.98,28.34,28.77,29.16,29.18,29.03,29.26,29.43,29.9,30.40,30.75,30.48,30.75,30.83,30.89,30.7,31.06,30.79,31.96,31.73,31.79,31.66,32.01,32.44,32.48,32.71,32.83,32.9,32.47,32.55,32.53,32.84,32.9,32.87,32.96,33.0,33.39,33.43,33.43,33.53,33.08,33.54,33.80,33.35,33.56,33.65,33.47,33.54,33.67,33.89,33.89,34.21,34.12,33.78,34.14,34.06,33.75,33.86,33.96,33.87,34.29,34.31,34.54,34.63,34.27,33.98,34.78,34.67,33.93,34.74,34.4,34.52,34.82,34.58,34.37,34.91,34.81,34.67,35.18,35.14,34.9,34.72,34.69,34.75,34.75,35.14,35.15,35.32,35.13,35.0,35.35,35.09,35.37,35.38,35.52,35.65,35.52,35.19,35.92,35.35,35.76,35.52,35.26,35.73,35.67,35.64,36.07,35.79,36.09,36.4,36.17,36.52,36.54,36.61,36.44,36.7,36.93,37.09,36.94,37.19,37.25,37.44,37.71,37.95,37.83,37.88,37.76,38.3,38.23,38.2,38.19,38.5,38.51,39.06,38.73,38.96,39.12,38.92,39.21,39.93,39.73,40.14,40.0,40.01,40.32,40.22,40.81,41.37,40.9,41.19,41.29,41.69,41.53,41.79,41.95
2Ts,16.11,16.46,15.92,16.1,15.61,18.22,20.41,21.52,22.81,23.72,23.86,25.95,26.36,27.57,28.58,28.61,28.72,28.92,29.27,29.04,29.34,29.42,29.65,30.24,30.13,30.91,31.2,31.63,31.31,31.24,31.06,31.41,31.75,31.36,31.78,32.07,32.22,32.67,32.80,32.41,32.45,32.66,32.99,32.89,33.11,33.06,33.2,33.30,33.15,33.66,33.69,33.76,34.01,34.08,34.29,34.39,34.35,34.4,33.83,34.06,34.01,33.87,34.19,34.21,34.19,34.5,34.06,34.27,34.53,34.67,34.48,34.72,34.53,34.69,34.82,34.61,34.97,35.18,34.9,34.94,34.94,35.09,35.01,35.02,35.07,35.22,35.22,35.04,35.22,35.41,35.18,35.36,35.28,35.58,35.13,35.61,35.8,35.68,35.99,35.69,36.01,35.83,36.17,36.11,36.21,36.51,36.54,36.35,36.34,36.88,36.62,36.66,36.4,36.87,37.21,37.04,37.04,37.09,37.09,37.35,37.97,37.81,37.89,37.91,38.29,39.08,38.62,38.41,38.56,39.05,38.92,39.21,39.32,39.5,39.46,39.68,39.75,40.03,40.38,40.29,40.82,40.66,40.99,40.78,41.12,41.01,41.44,41.67,41.71,41.87,41.92,41.86,42.15,42.32,41.95,42.51,42.75,42.63,42.84,43.18,43.29,43.41,43.62,43.94,44.11,44.08,44.22,44.64,44.57
2Js,15.89,15.95,15.93,14.97,18.42,20.81,22.5,23.71,24.49,25.31,26.00,27.88,27.27,28.76,28.67,28.74,28.66,29.53,30.0,30.15,30.25,30.72,30.62,30.89,30.68,31.41,31.66,31.91,32.01,31.69,31.86,31.69,32.2,32.85,32.37,32.71,32.96,33.46,33.55,33.33,33.12,33.56,33.48,33.76,33.67,33.57,34.01,34.08,33.72,34.15,34.16,34.18,34.33,34.5,34.28,34.57,34.69,34.63,34.39,34.61,34.48,34.71,34.98,34.67,34.65,34.87,35.04,34.98,34.94,35.29,35.0,35.18,35.18,35.33,35.39,35.57,35.69,35.29,35.97,36.05,35.94,36.07,36.16,36.13,36.44,36.29,36.69,36.44,36.96,36.91,36.72,36.98,36.93,37.07,36.97,37.28,38.0,37.48,37.75,37.64,37.88,37.68,38.01,38.15,38.15,38.58,38.33,38.29,38.31,38.7,39.07,39.01,39.12,39.39,39.53,39.48,39.95,39.95,40.02,40.48,40.55,40.66,40.89,41.19,41.33,41.46,41.51,41.76,41.74,42.1,42.1,41.94,42.49,42.34,42.55,42.97,42.69,42.82,43.38,43.30,43.23,43.38,44.0,43.6,43.8,43.73,44.2,44.97,44.72,44.95,44.46,44.29,44.62,44.81,44.97,45.41,45.34,45.62,45.51,45.62,45.89,46.18,46.22,46.37,46.31,46.23,46.58,47.09,46.94
